,Transcript,Topic,Sentiment,Program
0,11,"['people', 'sex', 'take', 'great', 'brothel']",0.15780945945945946,Fox News Network THE GREG GUTFELD SHOW
1,11,"['guy', 'put', 'good', 'call', 'phone', 'dump', 'thought', 'time']",0.3047793103448276,Fox News Network THE GREG GUTFELD SHOW
2,11,"['prank', 'walk', 'give', 'susan_anthony', 'pardon', 'do', 'thank', 'find']",0.35966296296296296,Fox News Network THE GREG GUTFELD SHOW
3,11,"['begin_video', 'remember', 'true', 'talk', 'need', 'medium', 'soft']",-0.12474583333333333,Fox News Network THE GREG GUTFELD SHOW
4,11,"['case', 'speech', 'history', 'grow', 'death', 'die', 'pandemic', 'world']",-0.06856,Fox News Network THE GREG GUTFELD SHOW
5,30,"['want', 'taxis', 'talk', 'look', 'see', 'country']",0.28961666666666663,Fox News Network THE FIVE
6,30,"['new', 'need', 'bear', 'rise', 'good', 'call', 'take', 'great', 'news']",0.24405806451612905,Fox News Network THE FIVE
7,30,"['attack', 'disavow', 'set', 'standard', 'different', 'begin_video', 'clip', 'racist']",0.030285714285714332,Fox News Network THE FIVE
8,30,"['twitter', 'medium', 'keep', 'fascism', 'hitler', 'last']",0.58353,Fox News Network THE FIVE
9,30,"['lockdown', 'mask', 'give', 'work']",0.20203636363636368,Fox News Network THE FIVE
10,51,"['storm', 'thank', 'take', 'hour', 'bus', 'wind', 'surge', 'evacuation']",0.43794999999999995,Fox News Network YOUR WORLD WITH NEIL CAVUTO
11,51,"['candidate', 'voter', 'presidential', 'former', 'problem', 'trump', 'president']",0.3859857142857143,Fox News Network YOUR WORLD WITH NEIL CAVUTO
12,51,"['shelter', 'hotel', 'room', 'time', 'evacuate', 'want', 'motel', 'congregate', 'lot', 'first']",0.029346153846153838,Fox News Network YOUR WORLD WITH NEIL CAVUTO
13,51,"['night', 'last', 'tonight', 'big', 'good', 'expect', 'afternoon', 'happen', 'today']",0.030949999999999995,Fox News Network YOUR WORLD WITH NEIL CAVUTO
14,51,"['violence', 'protest', 'community', 'job', 'lose', 'look']",-0.14037692307692307,Fox News Network YOUR WORLD WITH NEIL CAVUTO
15,72,"['thank', 'time', 'man', 'year']",0.127556,Fox News Network TUCKER CARLSON TONIGHT
16,72,"['mean', 'lie', 'tell', 'ellen', 'kind', 'record', 'show', 'look']",0.06940400000000002,Fox News Network TUCKER CARLSON TONIGHT
17,72,"['rice', 'life', 'video', 'paint', 'black', 'police', 'crazy', 'country', 'happen', 'right', 'matter']",-0.25473529411764706,Fox News Network TUCKER CARLSON TONIGHT
18,72,"['funeral', 'week', 'political', 'quarantine', 'last', 'science']",0.04948461538461538,Fox News Network TUCKER CARLSON TONIGHT
19,72,"['tonight', 'school', 'way', 'pay', 'tucker', 'restaurant', 'make']",0.2423666666666667,Fox News Network TUCKER CARLSON TONIGHT
20,80,"['tonight', 'lawsuit', 'year', 'next', 'order', 'political', 'attorney', 'nra', 'course', 'join']",0.2918,Fox News Network TUCKER CARLSON TONIGHT
21,80,"['way', 'time', 'hate', 'stand', 'divide', 'story', 'hope']",0.2615733333333333,Fox News Network TUCKER CARLSON TONIGHT
22,80,"['gun', 'last', 'tell', 'bias', 'training', 'officer', 'violence', 'percent']",-0.3224533333333333,Fox News Network TUCKER CARLSON TONIGHT
23,80,"['leader', 'state', 'history', 'bible', 'burn', 'understand', 'idea', 'thing', 'faith', 'worship']",0.21381428571428576,Fox News Network TUCKER CARLSON TONIGHT
24,80,"['chinese', 'use', 'happen', 'attack', 'system', 'seem', 'change', 'make', 'refuse', 'see']",0.06747692307692307,Fox News Network TUCKER CARLSON TONIGHT
25,92,"['shark', 'week', 'attack', 'new', 'play', 'coronavirus']",0.12619761904761903,Fox News Network WATTERS WORLD
26,92,"['school', 'need', 'vaccine', 'percent', 'teacher', 'student', 'mask', 'high']",0.17738636363636362,Fox News Network WATTERS WORLD
27,92,"['time', 'end', 'keep', 'second', 'talk', 'next', 'man', 'hand', 'alive', 'meet']",0.22228947368421056,Fox News Network WATTERS WORLD
28,92,"['debate', 'public', 'want', 'see', 'trump', 'place', 'clip', 'make', 'show']",0.31234,Fox News Network WATTERS WORLD
29,92,"['job', 'day', 'american', 'buy', 'work', 'base', 'way', 'begin_video']",0.2693133333333334,Fox News Network WATTERS WORLD
30,124,"['come', 'thank', 'piece', 'obama', 'way', 'aide', 'vice', 'tell']",0.29066562500000004,Fox News Network TUCKER CARLSON TONIGHT
31,124,"['say', 'want', 'coverage', 'interesting', 'mean', 'well', 'campaign', 'thing']",0.42530999999999997,Fox News Network TUCKER CARLSON TONIGHT
32,124,"['world', 'abolish', 'prison', 'talk', 'imagine', 'give', 'pledge', 'allegiance']",0.08902941176470588,Fox News Network TUCKER CARLSON TONIGHT
33,124,"['school', 'build', 'speak', 'education', 'bad', 'show', 'right', 'protest', 'capitalism']",-0.074075,Fox News Network TUCKER CARLSON TONIGHT
34,124,"['war', 'watch', 'party', 'seem', 'happen', 'take']",0.009677777777777797,Fox News Network TUCKER CARLSON TONIGHT
35,129,"['city', 'see', 'new', 'parent', 'right']",0.251034,Fox News Network THE FIVE
36,129,"['twitter', 'point', 'company', 'video', 'mean']",-0.003050000000000017,Fox News Network THE FIVE
37,129,"['little', 'give', 'put', 'love', 'amazing', 'let', 'today', 'need', 'live', 'big']",0.6462857142857145,Fox News Network THE FIVE
38,129,"['police', 'support', 'chief', 'black', 'percent', 'burn', 'fire', 'life', 'reform']",0.05423124999999998,Fox News Network THE FIVE
39,129,"['lot', 'leadership', 'stage', 'taking_center', 'battle', 'allege', 'call', 'gun']",0.08953076923076922,Fox News Network THE FIVE
40,143,"['church', 'decision', 'administration', 'attack', 'reasonable']",0.36923,Fox News Network LIFE LIBERTY LEVIN
41,143,"['look', 'take', 'give', 'ask', 'come', 'try']",0.02937999999999999,Fox News Network LIFE LIBERTY LEVIN
42,143,"['rule', 'want', 'mean', 'law', 'vote']",0.24462,Fox News Network LIFE LIBERTY LEVIN
43,143,"['narrative', 'peaceful', 'first', 'use', 'amendment', 'violence', 'news']",0.3568818181818182,Fox News Network LIFE LIBERTY LEVIN
44,143,"['police', 'life', 'city', 'black', 'matter', 'force', 'believe', 'many', 'country', 'community']",0.10605000000000003,Fox News Network LIFE LIBERTY LEVIN
45,145,"['reclaim', 'begin_video', 'clip', 'face', 'question', 'destroy', 'call', 'new']",0.144334,Fox News Network THE GREG GUTFELD SHOW
46,145,"['thing', 'mask', 'fight', 'run', 'talk', 'take', 'bondage']",0.10725666666666663,Fox News Network THE GREG GUTFELD SHOW
47,145,"['end', 'joke', 'exhaustion', 'answer', 'fact', 'leech', 'actual']",0.135521875,Fox News Network THE GREG GUTFELD SHOW
48,145,"['summer', 'bleep', 'lot', 'kid', 'college', 'year', 'become', 'adult', 'favorite', 'do']",0.3515458333333334,Fox News Network THE GREG GUTFELD SHOW
49,145,"['police', 'violent', 'tell', 'mean', 'civil', 'right', 'point', 'way', 'liberty']",-0.1483578947368421,Fox News Network THE GREG GUTFELD SHOW
50,163,"['clip', 'need', 'unemployment', 'begin_video', 'much', 'president', 'talk', 'billion', 'bill', 'potential']",0.118025,Fox News Network YOUR WORLD WITH NEIL CAVUTO
51,163,"['play', 'tax', 'mean', 'team', 'idea', 'tiktok', 'laughter', 'game']",0.3043192307692308,Fox News Network YOUR WORLD WITH NEIL CAVUTO
52,163,"['try', 'make', 'work', 'whole', 'let', 'mail', 'post', 'office']",0.055685000000000005,Fox News Network YOUR WORLD WITH NEIL CAVUTO
53,163,"['school', 'come', 'student', 'parent', 'thank', 'test', 'result', 'happen', 'day', 'superintendent']",0.32001818181818187,Fox News Network YOUR WORLD WITH NEIL CAVUTO
54,163,"['storm', 'wind', 'mile', 'city', 'see', 'put', 'power', 'hour', 'least', 'hurricane', 'tornado']",-0.07696666666666666,Fox News Network YOUR WORLD WITH NEIL CAVUTO
55,176,"['lot', 'today', 'election', 'right', 'little', 'talk']",0.3508540540540541,Fox News Network THE STORY WITH MARTHA MACCALLUM
56,176,"['school', 'student', 'watch', 'parent', 'hear', 'teacher']",0.22726333333333332,Fox News Network THE STORY WITH MARTHA MACCALLUM
57,176,"['woman', 'work', 'tell', 'country', 'strong', 'sure', 'president']",0.3240304347826087,Fox News Network THE STORY WITH MARTHA MACCALLUM
58,176,"['story', 'honor', 'lead', 'medal', 'state', 'follow', 'man', 'hero']",0.4940333333333333,Fox News Network THE STORY WITH MARTHA MACCALLUM
59,176,"['russian', 'document', 'try', 'committee', 'corruption', 'ask', 'day', 'concern', 'obtain', 'investigation']",0.2845714285714286,Fox News Network THE STORY WITH MARTHA MACCALLUM
60,181,"['lockdown', 'travel', 'state', 'tonight', 'strong', 'show', 'year', 'lead', 'month']",0.258895,Fox News Network INGRAHAM ANGLE
61,181,"['school', 'country', 'covid', 'see', 'authority', 'use', 'give', 'datum', 'child', 'public']",-0.0818941176470588,Fox News Network INGRAHAM ANGLE
62,181,"['take', 'county', 'vote', 'time', 'supervisor', 'happen', 'money', 'reduce', 'voter']",-0.14728235294117648,Fox News Network INGRAHAM ANGLE
63,181,"['player', 'come', 'people', 'try', 'border', 'wnba', 'let', 'political', 'life', 'mean']",0.13025,Fox News Network INGRAHAM ANGLE
64,181,"['sport', 'racism', 'dinesh', 'stay', 'race', 'racial', 'conservative', 'feel', 'voice', 'care', 'privilege']",0.24691538461538462,Fox News Network INGRAHAM ANGLE
65,206,"['person', 'kind', 'political', 'do', 'hotel', 'work', 'right']",0.06155937499999999,Fox News Network TUCKER CARLSON TONIGHT
66,206,"['question', 'ask', 'woman', 'thank', 'room', 'talk', 'stop', 'give']",0.14554594594594594,Fox News Network TUCKER CARLSON TONIGHT
67,206,"['document', 'come', 'group', 'many', 'lot', 'law', 'case', 'campaign', 'time']",0.05450624999999999,Fox News Network TUCKER CARLSON TONIGHT
68,206,"['show', 'business', 'mispronounce', 'story', 'gym', 'watch', 'science', 'name', 'datum', 'last', 'point']",0.40879374999999996,Fox News Network TUCKER CARLSON TONIGHT
69,206,"['call', 'steal', 'fact', 'police', 'year', 'tell', 'way', 'country']",0.29856,Fox News Network TUCKER CARLSON TONIGHT
70,207,"['thank', 'mean', 'use', 'talk']",0.23380810810810812,Fox News Network TUCKER CARLSON TONIGHT
71,207,"['fact', 'last', 'woman', 'year', 'voter', 'question', 'serve']",0.050824,Fox News Network TUCKER CARLSON TONIGHT
72,207,"['support', 'position', 'tax', 'change', 'ban']",0.21293548387096778,Fox News Network TUCKER CARLSON TONIGHT
73,207,"['health', 'virus', 'come', 'murder', 'home', 'need']",-0.3146785714285715,Fox News Network TUCKER CARLSON TONIGHT
74,207,"['policy', 'wear_mask', 'science', 'suppose', 'high']",-0.15639999999999998,Fox News Network TUCKER CARLSON TONIGHT
75,213,"['begin_video', 'end_video', 'gun', 'love', 'little', 'fake', 'twitter']",0.08104117647058824,Fox News Network INGRAHAM ANGLE
76,213,"['woman', 'first', 'see', 'biden', 'vote', 'believe', 'thank', 'ticket']",0.2854388888888889,Fox News Network INGRAHAM ANGLE
