,Transcript,Topic,Sentiment,Program
0,5,"['people', 'spy', 'remember', 'call', 'take', 'put', 'question']",0.33672857142857143,Fox News Network FOX HANNITY
1,5,"['hunter', 'biden', 'evidence', 'fire', 'wrong', 'medium', 'story', 'mean', 'make', 'experience', 'guy']",-0.2658714285714286,Fox News Network FOX HANNITY
2,5,"['police', 'thank', 'let', 'defunde', 'think', 'pack', 'show', 'hannity', 'tonight', 'night', 'time']",0.48212,Fox News Network FOX HANNITY
3,5,"['find', 'ballot', 'vote', 'lose', 'week', 'law', 'come', 'seat', 'legislature', 'new_york']",0.407975,Fox News Network FOX HANNITY
4,5,"['case', 'join', 'sean', 'attack', 'minute', 'pay']",0.04766666666666666,Fox News Network FOX HANNITY
5,10,"['city', 'see', 'look', 'let', 'lot']",0.3632525,Fox News Network TUCKER CARLSON TONIGHT
6,10,"['woman', 'record', 'violence', 'punching', 'beer', 'make', 'sure', 'player', 'night']",-0.09359333333333335,Fox News Network TUCKER CARLSON TONIGHT
7,10,"['vaccine', 'covid', 'old', 'call', 'elderly', 'live', 'priority', 'give', 'prisoner']",0.30761428571428573,Fox News Network TUCKER CARLSON TONIGHT
8,10,"['try', 'thank', 'rule', 'hockey', 'scrimmage', 'believe']",0.228375,Fox News Network TUCKER CARLSON TONIGHT
9,10,"['american', 'question', 'climate', 'talk', 'fact']",0.14861428571428573,Fox News Network TUCKER CARLSON TONIGHT
10,16,"['give', 'vaccine', 'mean', 'great', 'make', 'step', 'big']",0.11652,Fox News Network THE FIVE
11,16,"['spy', 'chinese', 'report', 'want', 'sleep', 'book', 'tell', 'new', 'year', 'guy']",0.28925769230769227,Fox News Network THE FIVE
12,16,"['police', 'defund', 'see', 'right', 'audio', 'talk', 'reporter']",0.027352380952380965,Fox News Network THE FIVE
13,16,"['disinformation', 'biden', 'investigation', 'russian', 'use', 'campaign', 'hide']",0.00527222222222224,Fox News Network THE FIVE
14,16,"['story', 'remember', 'run', 'true', 'time', 'brown']",0.19111818181818183,Fox News Network THE FIVE
15,37,"['great', 'say', 'much', 'interview', 'fox', 'friend', 'news', 'phase', 'thank']",0.24582222222222225,Fox News Network FOX AND FRIENDS
16,37,"['vaccine', 'choice', 'want', 'kind', 'ready', 'similar', 'technology', 'safety', 'efficacy', 'cold', 'storage', 'let']",0.7653333333333333,Fox News Network FOX AND FRIENDS
17,37,"['care', 'first', 'long', 'facility', 'next', 'rest', 'individual', 'specific', 'high', 'keep', 'group', 'process']",0.4448666666666667,Fox News Network FOX AND FRIENDS
18,37,"['pandemic', 'end', 'right', 'sight', 'stay', 'open', 'economy', 'overdose', 'rate']",-0.22383333333333333,Fox News Network FOX AND FRIENDS
19,39,"['evidence', 'science', 'need', 'indoor', 'dining', 'bar', 'outdoor', 'base', 'support', 'place', 'limit', 'close']",0.09328,Fox News Network AMERICA'S NEWSROOM
20,39,"['current', 'save', 'surge', 'thank', 'critical', 'going', 'testing', 'end', 'video', 'clip', 'want']",0.2128142857142857,Fox News Network AMERICA'S NEWSROOM
21,39,"['lot', 'good', 'normal', 'willing', 'pandemic', 'important']",0.5564999999999999,Fox News Network AMERICA'S NEWSROOM
22,39,"['take', 'first', 'group', 'individual', 'effectiveness', 'remember', 'come', 'give', 'case']",0.5828599999999999,Fox News Network AMERICA'S NEWSROOM
23,39,"['many', 'try', 'fear', 'business', 'wrong', 'run', 'paper', 'rollout', 'face']",-0.248025,Fox News Network AMERICA'S NEWSROOM
24,45,"['mean', 'new', 'come', 'learn', 'country']",0.33894615384615384,Fox News Network THE FIVE
25,45,"['want', 'rat', 'cartoon', 'see', 'way', 'work', 'cancel', 'call']",-0.16052962962962966,Fox News Network THE FIVE
26,45,"['investigation', 'discuss', 'look', 'attorney', 'general', 'hunter', 'candidate', 'happen', 'art', 'guy']",0.1827291666666667,Fox News Network THE FIVE
27,45,"['love', 'tamale', 'dog', 'pigeon', 'lucifer', 'side', 'kid', 'day']",0.1408,Fox News Network THE FIVE
28,45,"['shoot', 'year', 'month', 'ad', 'argument']",-0.023544444444444406,Fox News Network THE FIVE
29,47,"['vaccine', 'credit', 'take']",0.3097464285714286,Fox News Network MEDIA BUZZ
30,47,"['doctor', 'call', 'sexist', 'guy', 'thank', 'big', 'use', 'clip']",-0.08703181818181817,Fox News Network MEDIA BUZZ
31,47,"['let', 'way', 'play']",0.09028125000000001,Fox News Network MEDIA BUZZ
