,Transcript,Topic,Sentiment,Program
0,21,"['impeachment', 'word', 'election', 'evidence', 'use']",0.060427450980392164,Fox News Network INGRAHAM ANGLE
1,21,"['generation', 'free', 'people', 'see', 'man', 'question']",0.04935483870967741,Fox News Network INGRAHAM ANGLE
2,21,"['stage', 'mueller', 'grief', 'lie', 'come', 'last']",0.05371363636363637,Fox News Network INGRAHAM ANGLE
3,21,"['information', 'memo', 'medium', 'comey', 'month', 'course', 'leak', 'send', 'write']",-0.17507857142857142,Fox News Network INGRAHAM ANGLE
4,21,"['tonight', 'report', 'liberal', 'angle']",-0.2514272727272727,Fox News Network INGRAHAM ANGLE
5,36,"['tonight', 'trial', 'begin_video', 'hour', 'tomorrow', 'happen', 'team']",0.08313859649122807,Fox News Network INGRAHAM ANGLE
6,36,"['lie', 'whistleblower', 'schiff', 'people', 'guy', 'right']",0.058685714285714265,Fox News Network INGRAHAM ANGLE
7,36,"['senator', 'number', 'take']",0.4366961538461539,Fox News Network INGRAHAM ANGLE
8,36,"['country', 'work', 'hear', 'let', 'deal', 'look']",-0.12886250000000002,Fox News Network INGRAHAM ANGLE
9,36,"['make', 'illegitimate', 'conversation', 'court', 'process', 'argument', 'do', 'political', 'interest', 'united_state']",-0.07234375000000001,Fox News Network INGRAHAM ANGLE
10,38,"['vape', 'cigarette', 'end', 'happy', 'witness', 'good', 'market', 'product', 'make']",0.1951,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
11,38,"['campaign', 'quarter', 'sander', 'money', 'raise', 'fundraising', 'number', 'candidate', 'big', 'trump', 'fourth', 'look']",0.1625428571428571,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
12,38,"['thank', 'law', 'come', 'charge', 'use', 'company', 'take', 'correspondent']",0.158475,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
13,38,"['economy', 'deal', 'see', 'record', 'president', 'feel', 'world', 'trade', 'time']",0.3446375,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
14,38,"['fire', 'force', 'response', 'embassy', 'talk', 'bret', 'american', 'troop', 'destroy', 'prepare']",-0.40137368421052627,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
15,48,"['wait', 'sauce', 'drug', 'mean', 'movie', 'love', 'minute']",0.1124828947368421,Fox News Network THE FIVE
