,Transcript,Topic,Sentiment,Program
0,4,"['people', 'register', 'case', 'important', 'bring', 'work', 'digital', 'skill']",0.3128,Fox News Network YOUR WORLD WITH NEIL CAVUTO
1,4,"['right', 'go', 'court', 'today', 'welcome', 'sort', 'path', 'remember', 'dreamer']",0.7635,Fox News Network YOUR WORLD WITH NEIL CAVUTO
2,17,"['last', 'come', 'begin_video', 'attack', 'case', 'call']",-0.009025000000000005,Fox News Network THE STORY WITH MARTHA MACCALLUM
3,17,"['vote', 'try', 'talk']",0.09297777777777777,Fox News Network THE STORY WITH MARTHA MACCALLUM
4,17,"['group', 'violent', 'protest', 'look', 'different', 'way', 'many']",-0.16793333333333338,Fox News Network THE STORY WITH MARTHA MACCALLUM
5,17,"['community', 'kill', 'need', 'black', 'george_floyd', 'defund', 'man']",-0.06639285714285713,Fox News Network THE STORY WITH MARTHA MACCALLUM
6,17,"['run', 'time', 'page', 'want', 'new_york', 'lot', 'russian', 'find']",-0.31585833333333335,Fox News Network THE STORY WITH MARTHA MACCALLUM
7,19,"['want', 'see', 'mean', 'country', 'time', 'happen', 'black']",0.028835714285714274,Fox News Network THE FIVE
8,19,"['family', 'remember', 'start', 'way']",0.24283333333333332,Fox News Network THE FIVE
9,19,"['take', 'funeral_procession', 'place', 'final', 'look', 'movement', 'reject', 'world', 'rest', 'live']",-0.10885,Fox News Network THE FIVE
10,19,"['virus', 'human', 'case', 'walk', 'hour', 'clear', 'able', 'feel']",0.306125,Fox News Network THE FIVE
11,19,"['community', 'protect', 'end', 'support', 'relationship', 'town', 'state', 'duty', 'resident', 'citizen', 'page', 'funding', 'condition']",-0.2947,Fox News Network THE FIVE
12,42,"['expert', 'public', 'health', 'take', 'way', 'protest']",0.06477272727272726,Fox News Network THE FIVE
13,42,"['problem', 'city', 'happen', 'deal', 'mean', 'de_fund', 'let', 'help', 'government']",0.0795235294117647,Fox News Network THE FIVE
14,42,"['biden', 'leave', 'come', 'crime', 'trump', 'murder']",-0.08688571428571427,Fox News Network THE FIVE
15,42,"['community', 'reward', 'use', 'young', 'great', 'year', 'guy']",0.44841666666666663,Fox News Network THE FIVE
16,42,"['op', 'ed', 'mob', 'wake', 'child', 'make', 'point', 'new_york', 'editor', 'resign', 'newsroom', 'end', 'tell']",-0.11367272727272727,Fox News Network THE FIVE
17,62,"['happen', 'end', 'city', 'stay', 'time', 'black', 'shoot', 'strong', 'videotape']",-0.03317999999999998,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
18,62,"['job', 'church', 'trump', 'state', 'former', 'move', 'bret', 'attorney', 'white_house']",0.1356318181818182,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
19,62,"['tonight', 'charge', 'officer', 'degree', 'active_duty', 'military', 'evening', 'death', 'begin', 'country']",-0.08222631578947366,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
20,62,"['continue', 'day', 'department', 'situation', 'take', 'way', 'violent', 'law_enforcement']",0.03504117647058824,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
21,62,"['law', 'order', 'make', 'right', 'need', 'effort', 'message']",0.0727285714285714,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
22,63,"['story', 'tell', 'happen', 'tweet', 'source', 'many']",0.19567956989247315,Fox News Network MEDIA BUZZ
23,63,"['talk', 'end', 'question']",0.21034827586206897,Fox News Network MEDIA BUZZ
24,63,"['test', 'try', 'need', 'risk', 'much', 'age', 'home']",0.12350000000000003,Fox News Network MEDIA BUZZ
25,63,"['mask', 'facebook', 'point', 'day']",0.0928272727272727,Fox News Network MEDIA BUZZ
26,63,"['face', 'black', 'old', 'former', 'judge', 'headline']",-0.1151153846153846,Fox News Network MEDIA BUZZ
27,73,"['thank', 'president', 'trump', 'number', 'good', 'crosstalk']",0.194578431372549,Fox News Network THE STORY WITH MARTHA MACCALLUM
28,73,"['history', 'clip', 'erase', 'lose', 'brief', 'man', 'new_york', 'lead']",-0.2058692307692308,Fox News Network THE STORY WITH MARTHA MACCALLUM
29,73,"['year', 'country', 'need', 'last', 'reform', 'day', 'happen', 'city']",-0.13603333333333334,Fox News Network THE STORY WITH MARTHA MACCALLUM
30,73,"['vote', 'justice', 'abortion', 'right', 'today', 'chief', 'court', 'talk', 'little', 'conservative', 'liberal']",0.19715500000000002,Fox News Network THE STORY WITH MARTHA MACCALLUM
31,73,"['take', 'mask', 'area', 'indoor', 'tell', 'hit', 'place', 'northern', 'outbreak', 'work', 'restaurant']",0.30478125,Fox News Network THE STORY WITH MARTHA MACCALLUM
32,82,"['garage', 'bubba_wallace', 'driver', 'leave', 'horse', 'chain']",0.04021250000000002,Fox News Network TUCKER CARLSON TONIGHT
33,82,"['care', 'time', 'terrible', 'peaceful', 'take', 'state']",-0.183764705882353,Fox News Network TUCKER CARLSON TONIGHT
34,82,"['woman', 'girl', 'matter', 'compete', 'athlete', 'thank', 'mean', 'biological', 'man', 'male', 'opportunity', 'lot', 'sport']",0.45980000000000004,Fox News Network TUCKER CARLSON TONIGHT
35,82,"['book', 'racism', 'make', 'country', 'law', 'white', 'live', 'white_fragility', 'school']",0.18885000000000002,Fox News Network TUCKER CARLSON TONIGHT
36,84,"['public', 'many', 'country', 'health', 'city']",0.07432499999999999,Fox News Network TUCKER CARLSON TONIGHT
