,Transcript,Topic,Sentiment,Program
0,1,"['senator', 'lot', 'see', 'road', 'open', 'idea', 'hear', 'economic', 'adviser', 'thing', 'table']",0.440825,Fox News Network YOUR WORLD WITH NEIL CAVUTO
1,1,"['dollar', 'tool', 'buy', 'plan', 'people', 'forget', 'keen', 'trillion', 'work', 'provide', 'wonder']",0.24385,Fox News Network YOUR WORLD WITH NEIL CAVUTO
2,1,"['cut', 'correct', 'payroll', 'tax', 'president', 'want', 'mention', 'seem', 'party', 'indicate', 'rate', 'talk']",0.06116666666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
3,3,"['get', 'thank', 'friend', 'come', 'play', 'battle', 'virus', 'control', 'round', 'concern', 'pocket', 'world']",0.5635,Fox News Network YOUR WORLD WITH NEIL CAVUTO
4,3,"['votesafe', 'electoral', 'want', 'bring', 'good', 'hope', 'feel', 'worry', 'happy']",0.6468666666666666,Fox News Network YOUR WORLD WITH NEIL CAVUTO
5,9,"['black', 'people', 'community', 'party', 'issue', 'die']",0.000457575757575761,Fox News Network FOX NEWS @ NIGHT
6,9,"['wedding', 'know', 'type', 'bride', 'thought', 'good', 'lawsuit']",0.10609142857142856,Fox News Network FOX NEWS @ NIGHT
7,9,"['church', 'worship', 'reopen', 'trump', 'tell', 'support', 'comment', 'democratic', 'house', 'weekend']",0.26245333333333337,Fox News Network FOX NEWS @ NIGHT
8,9,"['thank', 'lot', 'memorial', 'begin', 'medium', 'day', 'fall', 'honor', 'look', 'ceremony', 'hero', 'tonight', 'let', 'work']",0.3425064516129033,Fox News Network FOX NEWS @ NIGHT
9,9,"['hong_kong', 'chinese', 'many', 'new_york', 'week', 'year', 'videotape', 'law', 'pro']",0.12209565217391304,Fox News Network FOX NEWS @ NIGHT
10,15,"['tonight', 'look', 'thank', 'good', 'evening', 'general', 'join', 'watch', 'man', 'today']",0.2578394736842105,Fox News Network THE STORY WITH MARTHA MACCALLUM
11,15,"['charge', 'racism', 'clear', 'injustice', 'day']",-0.5250357142857143,Fox News Network THE STORY WITH MARTHA MACCALLUM
12,15,"['speech', 'arrest', 'medium', 'come', 'country', 'state', 'regulate']",0.20151875,Fox News Network THE STORY WITH MARTHA MACCALLUM
13,15,"['call', 'crisis', 'find', 'phone', 'let', 'sanction', 'trump']",-0.09561428571428572,Fox News Network THE STORY WITH MARTHA MACCALLUM
14,15,"['behavior', 'law', 'hand', 'outrage', 'department', 'place']",-0.3715833333333334,Fox News Network THE STORY WITH MARTHA MACCALLUM
15,23,"['dog', 'man', 'video', 'police', 'black', 'time', 'officer', 'arrest']",-0.2662083333333333,Fox News Network THE FIVE
16,23,"['space', 'see', 'launch', 'crosstalk', 'talk']",0.276065,Fox News Network THE FIVE
17,23,"['expert', 'put', 'lot', 'great', 'try', 'keep']",0.21267894736842105,Fox News Network THE FIVE
18,23,"['twitter', 'tweet', 'trump', 'medium', 'fact', 'lie', 'fact_check']",-0.14452352941176472,Fox News Network THE FIVE
19,23,"['week', 'understand', 'coronavirus', 'warning', 'novel', 'virus', 'kind', 'second', 'wave', 'news']",0.19561,Fox News Network THE FIVE
20,29,"['people', 'happen', 'want']",0.2501768115942029,Fox News Network THE FIVE
21,29,"['golf', 'course', 'mask', 'love', 'time', 'much']",0.15812173913043479,Fox News Network THE FIVE
22,29,"['tweet', 'start', 'talk', 'trump', 'twitter', 'come', 'president', 'fact', 'right', 'mean', 'thug']",-0.14406923076923078,Fox News Network THE FIVE
23,29,"['thank', 'protest', 'view', 'message', 'change', 'watch', 'witness', 'animal', 'point', 'rise', 'garden']",0.04506086956521741,Fox News Network THE FIVE
