,Transcript,Topic,Sentiment,Program
0,18,"['see', 'state', 'stop', 'make']",0.24812325581395347,Fox News Network THE FIVE
1,18,"['win', 'want', 'lot', 'day', 'tomorrow']",0.4321342857142857,Fox News Network THE FIVE
2,18,"['love', 'story', 'drug', 'crosstalk', 'little', 'mushroom', 'corny', 'joke', 'voter']",0.40047419354838715,Fox News Network THE FIVE
3,18,"['keep', 'end', 'new', 'bird', 'give', 'call', 'bret', 'psilocybin']",0.20426190476190478,Fox News Network THE FIVE
4,18,"['crowd', 'lockdown', 'come', 'clip', 'begin_video', 'president', 'need', 'start', 'work']",0.07013684210526316,Fox News Network THE FIVE
5,28,"['let', 'night', 'thing', 'last']",0.12307215189873419,Fox News Network THE FIVE
6,28,"['medium', 'look', 'pollster', 'poll', 'point', 'tell', 'wrong']",0.15040833333333334,Fox News Network THE FIVE
7,28,"['year', 'ballot', 'percent']",0.33880000000000005,Fox News Network THE FIVE
8,28,"['fight', 'lose', 'talk', 'guy', 'spend', 'race']",0.2863,Fox News Network THE FIVE
9,28,"['election', 'end', 'train', 'day', 'return', 'presidency', 'biden', 'take', 'hear', 'today', 'fall', 'push']",0.03429999999999998,Fox News Network THE FIVE
10,31,"['let', 'count', 'want', 'state', 'trump', 'year']",0.13048536585365852,Fox News Network FOX HANNITY
11,31,"['foot', 'whistle_blower', 'court', 'case', 'call', 'thing', 'way', 'remedy']",0.04025789473684211,Fox News Network FOX HANNITY
12,31,"['come', 'think', 'look', 'take', 'mean', 'list', 'republican', 'pete', 'make']",0.15406250000000002,Fox News Network FOX HANNITY
13,31,"['point', 'word', 'party', 'country', 'try', 'racial', 'fight', 'send', 'responsible', 'commit', 'deed']",0.17756,Fox News Network FOX HANNITY
14,31,"['easy', 'constitutional', 'matter', 'right', 'end', 'travesty', 'week', 'night', 'world', 'show', 'good', 'whole', 'former', 'independent', 'counsel']",0.31507142857142856,Fox News Network FOX HANNITY
15,44,"['vote', 'night', 'clip', 'biden', 'begin_video', 'happen', 'lie']",0.01476071428571429,Fox News Network MEDIA BUZZ
16,44,"['see', 'fact', 'thing', 'time', 'campaign', 'mean', 'decision']",0.13410909090909093,Fox News Network MEDIA BUZZ
17,44,"['poll', 'wrong', 'win', 'point', 'twitter', 'end', 'liberal']",0.2665761904761905,Fox News Network MEDIA BUZZ
18,44,"['lot', 'way', 'give', 'story']",0.11854545454545452,Fox News Network MEDIA BUZZ
19,44,"['voter', 'fraud', 'problem', 'feel', 'love', 'need']",0.07119999999999999,Fox News Network MEDIA BUZZ
20,52,"['day', 'run', 'way']",0.3219188679245283,Fox News Network YOUR WORLD WITH NEIL CAVUTO
21,52,"['state', 'close', 'trump']",0.1694142857142857,Fox News Network YOUR WORLD WITH NEIL CAVUTO
22,52,"['vaccine', 'know', 'spike', 'course', 'come']",0.4160388888888889,Fox News Network YOUR WORLD WITH NEIL CAVUTO
23,52,"['court', 'make', 'president', 'office', 'act', 'crosstalk', 'let', 'ballot']",0.29932000000000003,Fox News Network YOUR WORLD WITH NEIL CAVUTO
24,52,"['law', 'mandate', 'individual', 'rid', 'want', 'work', 'keep', 'intact', 'mention', 'buy', 'insurance', 'clip']",0.3380777777777778,Fox News Network YOUR WORLD WITH NEIL CAVUTO
25,55,"['go', 'distribution', 'bad', 'break', 'governor', 'result', 'react', 'video', 'clip', 'plan', 'come', 'make']",0.22618181818181823,Fox News Network AMERICA'S NEWSROOM
26,55,"['include', 'talk', 'cuomo', 'party', 'keep', 'face', 'cover', 'work', 'maintain', 'social', 'distance', 'follow', 'type']",0.28636666666666666,Fox News Network AMERICA'S NEWSROOM
27,56,"['vaccine', 'protect', 'approval', 'immunize', 'take', 'work', 'think', 'impact']",0.5400666666666667,Fox News Network AMERICA'S NEWSROOM
28,56,"['thank', 'hit', 'shore', 'do', 'believe', 'vaccinated', 'million', 'year', 'unheard', 'history']",0.50875,Fox News Network AMERICA'S NEWSROOM
29,59,"['pfizer', 'news', 'effective', 'service', 'interview', 'fox', 'friend', 'last', 'week']",0.772825,Fox News Network FOX AND FRIENDS
30,59,"['vaccine', 'thank', 'president', 'make', 'choice', 'trump', 'join', 'update', 'surprising', 'detail', 'american', 'expect']",0.45377999999999996,Fox News Network FOX AND FRIENDS
31,59,"['keep', 'open', 'science', 'datum', 'european', 'health', 'social', 'distance', 'wear', 'let', 'think']",0.09090000000000002,Fox News Network FOX AND FRIENDS
32,69,"['see', 'feel', 'look', 'election', 'people', 'percent', 'momentum', 'time', 'watch', 'spend', 'final']",0.44295,Fox News Network AMERICA'S NEWSROOM
33,69,"['market', 'trump', 'biden', 'victory', 'coronavirus', 'make', 'lead', 'stock', 'video', 'clip']",0.305075,Fox News Network AMERICA'S NEWSROOM
34,78,"['good', 'president', 'take', 'make', 'show']",0.1703159090909091,Fox News Network INGRAHAM ANGLE
35,78,"['mean', 'let', 'talk', 'policy', 'foreign']",0.1519761904761905,Fox News Network INGRAHAM ANGLE
36,78,"['walk', 'open', 'mark', 'come', 'envelope', 'put', 'paper']",0.18129090909090906,Fox News Network INGRAHAM ANGLE
37,78,"['happen', 'tell', 'begin_video', 'tonight', 'moment', 'last', 'voter']",-0.045420000000000016,Fox News Network INGRAHAM ANGLE
38,78,"['lockdown', 'computer', 'way', 'right', 'understand', 'do', 'country']",-0.08342999999999998,Fox News Network INGRAHAM ANGLE
39,89,"['time', 'great', 'look', 'right', 'tell', 'love', 'book', 'nation']",0.36363234421364987,Fox News Network THE GREG GUTFELD SHOW
40,89,"['find', 'make', 'next', 'let', 'ask', 'put']",0.131178125,Fox News Network THE GREG GUTFELD SHOW
