,Transcript,Topic,Sentiment,Program
0,12,"['day', 'tonight', 'campaign', 'good', 'state', 'thank', 'year', 'poll', 'last', 'take']",0.20162619047619051,Fox News Network FOX NEWS @ NIGHT
1,12,"['medium', 'post', 'story', 'election', 'big_tech', 'twitter', 'censorship', 'thing', 'come', 'week']",0.00016666666666666682,Fox News Network FOX NEWS @ NIGHT
2,12,"['young', 'voter', 'know', 'percent', 'student', 'new', 'vote', 'old', 'voting', 'age']",0.15990526315789474,Fox News Network FOX NEWS @ NIGHT
3,12,"['anonymous', 'trump', 'question', 'want', 'ask', 'mean', 'administration', 'find', 'discredit']",0.022800000000000008,Fox News Network FOX NEWS @ NIGHT
4,12,"['police', 'officer', 'shoot', 'man', 'look', 'kill', 'black', 'talk', 'see', 'stop', 'many']",-0.22922000000000003,Fox News Network FOX NEWS @ NIGHT
5,41,"['election', 'pack', 'biden', 'question', 'thing', 'ask', 'voter', 'answer']",0.1726661764705882,Fox News Network FOX HANNITY
6,41,"['run', 'guy', 'day', 'try', 'fracke']",0.09371785714285714,Fox News Network FOX HANNITY
7,41,"['tonight', 'give', 'unbelievable', 'free', 'odd']",0.2617058823529412,Fox News Network FOX HANNITY
8,41,"['power', 'country', 'branch', 'look', 'constitutional', 'packing', 'right']",-0.10260000000000004,Fox News Network FOX HANNITY
9,41,"['sure', 'woman', 'vote', 'conservative', 'tell', 'important', 'place', 'rule', 'process', 'take', 'justice']",0.29585,Fox News Network FOX HANNITY
10,54,"['think', 'happen', 'worried', 'rest', 'try', 'know', 'imagery', 'election', 'cycle', 'regard', 'unrest']",-0.03783750000000001,Fox News Network FOX AND FRIENDS
11,54,"['thank', 'morning', 'kid', 'good', 'luck', 'news', 'way', 'invite', 'program', 'work', 'set', 'interview', 'campaign', 'keep']",0.5319,Fox News Network FOX AND FRIENDS
12,54,"['district', 'co', 'sponsor', 'green', 'new', 'deal', 'time', 'southwestern', 'skarlato', 'become', 'reenacted', 'encounter']",0.53775,Fox News Network FOX AND FRIENDS
13,61,"['thing', 'look', 'meat', 'cover', 'let', 'great']",0.18762352941176472,Fox News Network THE FIVE
14,61,"['taxis', 'tax', 'vote', 'raise']",-0.005293548387096762,Fox News Network THE FIVE
15,61,"['fact', 'news', 'try', 'disinformation', 'story', 'today', 'big']",-0.0004576923076923128,Fox News Network THE FIVE
16,61,"['debate', 'talk', 'real', 'good', 'biden', 'hunter', 'give', 'parent']",0.017656521739130446,Fox News Network THE FIVE
17,61,"['tell', 'begin_video', 'clip', 'former', 'little', 'trail', 'first', 'land', 'pineapple', 'repeat', 'last']",0.18746666666666667,Fox News Network THE FIVE
18,67,"['want', 'test', 'vaccine', 'rapid', 'week', 'come', 'state', 'people', 'know', 'country', 'local', 'confident', 'hear']",0.43718571428571434,Fox News Network FOX AND FRIENDS
19,67,"['thank', 'yesterday', 'video', 'clip', 'work', 'talk', 'begin', 'night', 'end', 'tell', 'good', 'morning', 'trade', 'deal', 'swear']",0.3022888888888889,Fox News Network FOX AND FRIENDS
20,67,"['case', 'need', 'let', 'make', 'deploy', 'enforcement', 'tolerate', 'monitor', 'thing', 'clear', 'other']",0.79055,Fox News Network FOX AND FRIENDS
21,67,"['go', 'court', 'quarter', 'american', 'last', 'term', 'record', 'early', 'first', 'expand']",0.86245,Fox News Network FOX AND FRIENDS
22,67,"['director', 'interview', 'friend', 'policy', 'preference', 'senator', 'election', 'news', 'send', 'appropriate', 'measure', 'job', 'mayor', 'ask']",0.505475,Fox News Network FOX AND FRIENDS
23,68,"['let', 'morning', 'debate', 'thank', 'video', 'communication', 'great', 'dominate', 'look', 'front', 'end']",0.3418888888888889,Fox News Network AMERICA'S NEWSROOM
24,68,"['want', 'life', 'people', 'coronavirus', 'safe', 'therapeutic', 'focus', 'normal', 'deal', 'make']",0.63422,Fox News Network AMERICA'S NEWSROOM
25,68,"['mask', 'know', 'stand', 'need', 'wear', 'strength', 'point', 'see', 'photographer', 'much', 'precaution']",0.310425,Fox News Network AMERICA'S NEWSROOM
26,68,"['campaign', 'central', 'issue', 'ask', 'speak', 'message', 'event', 'feel', 'protect', 'base']",0.34623333333333334,Fox News Network AMERICA'S NEWSROOM
27,68,"['distance', 'staff', 'safety', 'health', 'new', 'phone', 'virus', 'right', 'start', 'remember', 'image', 'rise']",-0.5185333333333334,Fox News Network AMERICA'S NEWSROOM
28,107,"['senator_harris', 'hear', 'aware', 'hearing', 'commitment', 'story', 'let', 'senator']",0.3170071428571428,Fox News Network THE STORY WITH MARTHA MACCALLUM
29,107,"['vaccine', 'trial', 'phase', 'month', 'year', 'mind', 'process', 'safe', 'end']",0.5102266666666667,Fox News Network THE STORY WITH MARTHA MACCALLUM
30,107,"['woman', 'decision', 'supreme_court', 'justice', 'act', 'president_trump', 'court', 'protection', 'health', 'condition', 'choose']",0.35036363636363643,Fox News Network THE STORY WITH MARTHA MACCALLUM
31,107,"['think', 'point', 'day', 'vote', 'great', 'thing']",0.5053307692307691,Fox News Network THE STORY WITH MARTHA MACCALLUM
32,107,"['crowd', 'right', 'free', 'guy', 'come', 'time', 'boo', 'coal']",0.06576923076923076,Fox News Network THE STORY WITH MARTHA MACCALLUM
33,108,"['money', 'company', 'abortion', 'pro', 'tonight', 'thing', 'tech', 'point', 'dark']",0.25825072463768123,Fox News Network TUCKER CARLSON TONIGHT
34,108,"['mask', 'wear', 'study', 'science', 'virus', 'many', 'face', 'public']",-0.08230000000000001,Fox News Network TUCKER CARLSON TONIGHT
35,108,"['sexual', 'cuban', 'seem', 'ethnic', 'cleansing', 'headline', 'number', 'use', 'country', 'course']",0.29298125,Fox News Network TUCKER CARLSON TONIGHT
36,108,"['lot', 'big', 'night', 'right', 'watch', 'see', 'violation', 'take']",-0.08370769230769233,Fox News Network TUCKER CARLSON TONIGHT
37,108,"['today', 'clip', 'religious', 'begin_video', 'belief', 'day', 'last', 'office']",-0.2893909090909091,Fox News Network TUCKER CARLSON TONIGHT
38,109,"['lie', 'think', 'fracke', 'chump', 'talk', 'work', 'election', 'oil']",0.0008260869565217254,Fox News Network FOX HANNITY
39,109,"['conservative', 'court', 'united_state', 'big', 'woman', 'judge']",0.524926923076923,Fox News Network FOX HANNITY
40,109,"['swear', 'right', 'point', 'happen', 'end', 'enter', 'hannity', 'start', 'moment']",0.15986666666666668,Fox News Network FOX HANNITY
41,109,"['thank', 'justice', 'law', 'want', 'new', 'make']",0.5351874999999999,Fox News Network FOX HANNITY
42,109,"['time', 'week', 'campaign', 'forget', 'debate', 'number', 'today', 'cut', 'rally']",0.2418125,Fox News Network FOX HANNITY
43,136,"['begin_video', 'clip', 'campaign', 'let', 'come', 'coverage', 'vice', 'thank']",0.214025,Fox News Network MEDIA BUZZ
44,136,"['email', 'former', 'point', 'business', 'criminal', 'time', 'cover', 'influence']",-0.10174000000000001,Fox News Network MEDIA BUZZ
45,136,"['issue', 'oil', 'want']",0.240232,Fox News Network MEDIA BUZZ
46,136,"['question', 'make', 'fact', 'american', 'continue', 'political', 'spy']",-0.10740000000000001,Fox News Network MEDIA BUZZ
47,136,"['give', 'set', 'good', 'need', 'keep', 'big']",0.18726363636363635,Fox News Network MEDIA BUZZ
48,175,"['money', 'part', 'hunter', 'begin_video', 'make', 'election', 'time']",0.07619677419354838,Fox News Network INGRAHAM ANGLE
49,175,"['year', 'percent', 'number', 'bring', 'look', 'lose', 'institution']",0.17604347826086955,Fox News Network INGRAHAM ANGLE
50,175,"['want', 'day', 'lockdown', 'mean', 'move', 'tell', 'word', 'recognize']",0.09699999999999999,Fox News Network INGRAHAM ANGLE
51,175,"['lot', 'show', 'find', 'poll', 'swing', 'candidate', 'state', 'tonight']",0.30593499999999996,Fox News Network INGRAHAM ANGLE
52,175,"['thank', 'come', 'today', 'try', 'event', 'end', 'covid', 'president', 'tampa']",0.31097,Fox News Network INGRAHAM ANGLE
53,178,"['tell', 'court', 'look', 'way', 'ask']",0.1250478260869565,Fox News Network FOX HANNITY
54,178,"['question', 'see', 'answer', 'day', 'american', 'come', 'sean', 'election', 'end']",0.3584222222222222,Fox News Network FOX HANNITY
55,178,"['whitmer', 'blame', 'condemn', 'fact', 'plot', 'governor', 'arrest']",0.108025,Fox News Network FOX HANNITY
56,178,"['future', 'make', 'happen', 'hud_secretary', 'show', 'let', 'amendment', 'team', 'stunt', 'apply']",0.22845000000000004,Fox News Network FOX HANNITY
57,178,"['religious', 'housing', 'attack', 'faith', 'believe', 'liberty', 'religion', 'senior', 'complex', 'last', 'country']",0.4106666666666667,Fox News Network FOX HANNITY
58,185,"['great', 'guy', 'lot', 'year', 'give', 'tell']",0.34467560975609757,Fox News Network THE STORY WITH MARTHA MACCALLUM
59,185,"['black', 'president', 'thank', 'former', 'tonight', 'system', 'end', 'comment', 'make']",0.264284,Fox News Network THE STORY WITH MARTHA MACCALLUM
60,185,"['vote', 'country', 'way', 'want', 'love']",0.5443642857142856,Fox News Network THE STORY WITH MARTHA MACCALLUM
61,185,"['email', 'time', 'point', 'poll', 'hunter', 'day', 'campaign', 'last']",0.008290909090909087,Fox News Network THE STORY WITH MARTHA MACCALLUM
62,185,"['forget', 'school', 'community', 'second', 'fight', 'create', 'police', 'law', 'amendment']",0.66832,Fox News Network THE STORY WITH MARTHA MACCALLUM
63,196,"['see', 'trump', 'vote', 'lot', 'state', 'seem', 'race', 'mean']",0.2344377049180328,Fox News Network FOX HANNITY
64,196,"['campaign', 'make', 'russian', 'question', 'tonight', 'million', 'answer']",0.07144444444444445,Fox News Network FOX HANNITY
65,196,"['court', 'want', 'pack', 'help', 'country', 'tell', 'win', 'right', 'let', 'try']",0.47433500000000006,Fox News Network FOX HANNITY
