,Transcript,Topic,Sentiment,Program
0,13,"['peace', 'middle_east', 'veteran', 'vote', 'today', 'right', 'end_video']",0.09786491228070174,Fox News Network INGRAHAM ANGLE
1,13,"['mean', 'expert', 'year', 'care', 'remember', 'thing', 'record']",0.16592916666666666,Fox News Network INGRAHAM ANGLE
2,13,"['great', 'big', 'football', 'show', 'time', 'tell']",0.17143999999999998,Fox News Network INGRAHAM ANGLE
3,13,"['school', 'state', 'covid', 'know', 'open', 'life', 'police']",0.22760384615384616,Fox News Network INGRAHAM ANGLE
4,13,"['business', 'white', 'city', 'fact', 'happen', 'black', 'raise', 'believe']",0.11695714285714286,Fox News Network INGRAHAM ANGLE
5,95,"['birthday', 'happy', 'thing', 'good', 'leave', 'thank', 'right', 'show']",0.2830243055555555,Fox News Network THE FIVE
6,95,"['use', 'teleprompter', 'answer', 'see', 'mean', 'interview', 'biden', 'guy']",0.2163953488372093,Fox News Network THE FIVE
7,95,"['moment', 'time', 'today', 'year', 'pay', 'risk']",-0.07029999999999997,Fox News Network THE FIVE
8,95,"['city', 'manufacturing_job', 'governor', 'well', 'lose']",0.1560368421052632,Fox News Network THE FIVE
9,95,"['happen', 'forget', 'live', 'fight', 'flight', 'matter', 'end']",-0.09477777777777777,Fox News Network THE FIVE
10,134,"['fire', 'deputy', 'forest', 'shoot', 'tonight', 'make', 'climate_change']",0.2185843137254902,Fox News Network FOX NEWS @ NIGHT
11,134,"['sex', 'year_old', 'registry', 'wildfire', 'new', 'discretion']",0.008257692307692306,Fox News Network FOX NEWS @ NIGHT
12,134,"['day', 'number', 'election', 'look', 'good', 'trump', 'hispanic']",0.31008500000000006,Fox News Network FOX NEWS @ NIGHT
13,134,"['officer', 'try', 'percent', 'protest', 'mayor', 'message', 'poll', 'talk']",0.16675,Fox News Network FOX NEWS @ NIGHT
14,134,"['vote', 'call', 'electoral', 'house', 'right', 'elect', 'claim', 'climate', 'enforcement', 'action']",-0.3030909090909091,Fox News Network FOX NEWS @ NIGHT
15,147,"['state', 'today', 'work', 'good', 'great']",0.3112045454545455,Fox News Network YOUR WORLD WITH NEIL CAVUTO
16,147,"['book', 'want', 'deadly', 'panic', 'tape', 'believe', 'make']",0.12133913043478264,Fox News Network YOUR WORLD WITH NEIL CAVUTO
17,147,"['early', 'see', 'flu', 'doctor']",-0.006270000000000003,Fox News Network YOUR WORLD WITH NEIL CAVUTO
18,147,"['industry', 'right', 'airline', 'aid', 'help', 'flight', 'attendant', 'worker', 'relief']",0.37392857142857144,Fox News Network YOUR WORLD WITH NEIL CAVUTO
19,147,"['happy', 'temporary', 'comply', 'trial', 'pause', 'welcome', 'last', 'effect', 'investigate', 'end', 'table', 'become', 'clinical']",0.4511666666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
20,171,"['low', 'state', 'tell', 'make', 'reform', 'bright', 'put', 'african']",0.20996111111111107,Fox News Network FOX HANNITY
21,171,"['get', 'let', 'year', 'socialist', 'word', 'job']",0.38421000000000005,Fox News Network FOX HANNITY
22,171,"['people', 'test', 'come', 'mental', 'question', 'see']",-0.029221428571428582,Fox News Network FOX HANNITY
23,171,"['office', 'ban', 'call', 'news', 'pragmatic', 'lie']",-0.03235714285714287,Fox News Network FOX HANNITY
24,171,"['hannity', 'monologue', 'campaign', 'videotape', 'happen', 'special', 'edition', 'president', 'new', 'blunder', 'history']",0.26061428571428574,Fox News Network FOX HANNITY
25,179,"['mean', 'thank', 'need', 'vote', 'document', 'tucker', 'good']",0.06635813953488372,Fox News Network TUCKER CARLSON TONIGHT
26,179,"['trump', 'country', 'time']",-0.0357625,Fox News Network TUCKER CARLSON TONIGHT
27,179,"['ballot', 'come', 'tell', 'election', 'look', 'catch', 'today', 'russian']",0.272625,Fox News Network TUCKER CARLSON TONIGHT
28,179,"['make', 'presidential', 'talk', 'college', 'commission', 'proposal', 'many', 'remember']",0.378875,Fox News Network TUCKER CARLSON TONIGHT
29,179,"['president', 'training', 'do', 'agency', 'title', 'federal', 'racist', 'employee', 'public', 'former', 'vice', 'idea']",-0.36313333333333336,Fox News Network TUCKER CARLSON TONIGHT
30,186,"['thank', 'election', 'supreme_court', 'today', 'begin', 'much', 'president', 'late', 'help', 'day']",0.47146521739130426,Fox News Network YOUR WORLD WITH NEIL CAVUTO
31,186,"['car', 'see', 'business', 'economy', 'tax', 'mean', 'rate', 'winner', 'look']",0.40176999999999996,Fox News Network YOUR WORLD WITH NEIL CAVUTO
32,186,"['justice', 'important', 'case', 'give', 'judge', 'truth', 'use']",0.40559411764705877,Fox News Network YOUR WORLD WITH NEIL CAVUTO
33,186,"['protester', 'hour', 'several', 'right', 'line', 'push', 'community']",-0.09461538461538462,Fox News Network YOUR WORLD WITH NEIL CAVUTO
34,186,"['charge', 'officer', 'fire', 'door', 'shoot', 'knock', 'shot', 'warrant', 'want']",-0.31250666666666665,Fox News Network YOUR WORLD WITH NEIL CAVUTO
35,187,"['begin_video', 'bring', 'moment', 'president', 'take', 'let']",0.19138076923076924,Fox News Network INGRAHAM ANGLE
36,187,"['look', 'sport', 'thing', 'work', 'history', 'good', 'low']",0.0783684210526316,Fox News Network INGRAHAM ANGLE
37,187,"['sex', 'year_old', 'law', 'big', 'state']",0.374805,Fox News Network INGRAHAM ANGLE
38,187,"['black', 'billionaire', 'police', 'country', 'come', 'great', 'narrative', 'race', 'seem']",0.20189473684210527,Fox News Network INGRAHAM ANGLE
39,187,"['church', 'course', 'answer', 'message', 'become', 'debate', 'way', 'gospel']",0.2324625,Fox News Network INGRAHAM ANGLE
40,193,"['debate', 'come', 'issue', 'tonight', 'tomorrow', 'work', 'watch']",0.12912037037037039,Fox News Network INGRAHAM ANGLE
41,193,"['mean', 'right', 'story', 'make', 'process', 'join', 'next', 'sure']",0.1068095238095238,Fox News Network INGRAHAM ANGLE
42,193,"['want', 'talk', 'extraordinary', 'school', 'woman', 'city', 'face', 'problem']",0.08183333333333331,Fox News Network INGRAHAM ANGLE
43,193,"['president', 'thing', 'mask', 'wear', 'policy', 'case', 'open', 'protect', 'covid']",0.17258749999999998,Fox News Network INGRAHAM ANGLE
44,193,"['trump', 'year', 'business', 'tax', 'black', 'give', 'course']",-0.21421249999999997,Fox News Network INGRAHAM ANGLE
45,209,"['clip', 'begin_video', 'medium', 'thank', 'day', 'event']",0.17392727272727274,Fox News Network INGRAHAM ANGLE
46,209,"['panic', 'take', 'look', 'mueller', 'shutdown']",0.10736086956521737,Fox News Network INGRAHAM ANGLE
47,209,"['list', 'important', 'great', 'year', 'judge', 'issue', 'court']",0.23308571428571428,Fox News Network INGRAHAM ANGLE
48,209,"['part', 'hide', 'racial', 'abolish', 'way', 'use', 'problem']",-0.0266769230769231,Fox News Network INGRAHAM ANGLE
49,209,"['say', 'ask', 'whistle_blower', 'find', 'question', 'talk', 'remember', 'lieutenant']",-0.0005714285714285779,Fox News Network INGRAHAM ANGLE
50,212,"['let', 'do', 'fight', 'day', 'donald_trump', 'national']",0.061625,Fox News Network FOX HANNITY
51,212,"['want', 'trump', 'mean', 'tell', 'base', 'debate']",-0.07955454545454545,Fox News Network FOX HANNITY
52,212,"['election', 'talk', 'try', 'look', 'take']",0.2487730769230769,Fox News Network FOX HANNITY
53,212,"['question', 'answer', 'great', 'angry', 'clip', 'begin_video', 'join', 'simple', 'refuse', 'basic']",0.19502916666666667,Fox News Network FOX HANNITY
54,212,"['poll', 'home', 'mask', 'crosstalk', 'manifesto', 'fortune', 'listen', 'right', 'fix', 'number', 'overlap']",0.06548666666666667,Fox News Network FOX HANNITY
55,218,"['school', 'play', 'state', 'football', 'risk', 'player', 'open', 'country']",0.24153157894736843,Fox News Network INGRAHAM ANGLE
56,218,"['believe', 'leader', 'watch', 'shut', 'day', 'election', 'happen', 'come']",0.2424032258064516,Fox News Network INGRAHAM ANGLE
57,218,"['tell', 'biden', 'money', 'dinesh', 'deal', 'contract', 'need']",0.167704,Fox News Network INGRAHAM ANGLE
58,218,"['use', 'stop', 'image', 'president', 'person', 'bobby', 'begin_video']",-0.009584210526315792,Fox News Network INGRAHAM ANGLE
59,218,"['year', 'case', 'percent', 'fun', 'clara', 'leave', 'life', 'parent', 'look', 'last']",0.56515,Fox News Network INGRAHAM ANGLE
60,222,"['president', 'talk', 'trump', 'lose', 'vice', 'virus']",0.16136785714285715,Fox News Network YOUR WORLD WITH NEIL CAVUTO
61,222,"['clip', 'follow', 'salon', 'begin_video', 'take', 'science', 'shut', 'setup', 'end_video', 'mask', 'pelosi']",0.041900000000000014,Fox News Network YOUR WORLD WITH NEIL CAVUTO
62,222,"['taxis', 'tax', 'percent', 'raise', 'cut', 'rate', 'corporate', 'increase', 'capital', 'pay', 'top', 'gain', 'argue']",0.36716874999999993,Fox News Network YOUR WORLD WITH NEIL CAVUTO
63,222,"['big', 'thank', 'come', 'want', 'make', 'plan', 'hold', 'apple', 'last', 'huge', 'rapid']",0.4010666666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
64,222,"['look', 'work', 'continue', 'market', 'high']",0.6105499999999999,Fox News Network YOUR WORLD WITH NEIL CAVUTO
65,235,"['year', 'company', 'control', 'news', 'twitter', 'power']",0.23653888888888888,Fox News Network TUCKER CARLSON TONIGHT
66,235,"['day', 'end', 'thank', 'great', 'covid', 'special', 'give', 'matter']",0.47203529411764705,Fox News Network TUCKER CARLSON TONIGHT
67,235,"['want', 'federal', 'country', 'law', 'need', 'make', 'look']",0.34215,Fox News Network TUCKER CARLSON TONIGHT
68,235,"['view', 'use', 'begin', 'course', 'drug', 'search', 'much', 'keep']",0.32769,Fox News Network TUCKER CARLSON TONIGHT
69,235,"['science', 'physician', 'monopoly', 'coronavirus', 'question', 'allow', 'world']",0.10714285714285714,Fox News Network TUCKER CARLSON TONIGHT
70,237,"['thank', 'good', 'lot', 'much', 'show', 'matter', 'begin', 'election', 'work', 'next']",0.5386217391304348,Fox News Network TUCKER CARLSON TONIGHT
71,237,"['end', 'get', 'big_tech', 'voter', 'change', 'tired', 'lockdown']",0.17348333333333332,Fox News Network TUCKER CARLSON TONIGHT
72,237,"['school', 'teach', 'racist', 'parent', 'year', 'concern', 'turn', 'question', 'include', 'district', 'support', 'kid', 'beer']",0.07436428571428573,Fox News Network TUCKER CARLSON TONIGHT
73,237,"['video', 'chinese', 'facebook', 'find', 'coronavirus', 'physician', 'month', 'take']",-0.26305,Fox News Network TUCKER CARLSON TONIGHT
74,237,"['science', 'need', 'see', 'look', 'country', 'allow', 'censor', 'talk', 'kind']",0.2213416666666667,Fox News Network TUCKER CARLSON TONIGHT
75,240,"['poll', 'manager', 'love', 'methodology', 'guy', 'presidential', 'interview', 'real', 'challenge']",0.3412285714285714,Fox News Network FOX AND FRIENDS
76,240,"['state', 'start', 'country', 'rule', 'count', 'midnight']",0.03873333333333331,Fox News Network FOX AND FRIENDS
77,240,"['show', 'video', 'clip', 'lead', 'end', 'trump', 'begin', 'take', 'ad', 'percent']",0.028216666666666657,Fox News Network FOX AND FRIENDS
78,240,"['violence', 'president', 'see', 'vice', 'voter', 'likely', 'scary', 'supporter', 'visit']",-0.055433333333333334,Fox News Network FOX AND FRIENDS
